Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage,Funding_Year,Year_of_existence,Actual_date,Year
FlexiLoans,2016-01-01,Mumbai,IT & Technology,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.","Abhishek Kothari, Deepak Jain, Manish Lunia, Ritesh Jain",>Vikram Sud,6000000.0,IPO,2020-01-01,1461 days,2021-01-01,2021
Agrix,2020-01-01,Patna,Agriculture,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.","Nilay Pandey, Saurav Singh, Vivek Kumar",Maple Capital Advisors,3000000.0,Seed,2020-01-01,0 days,2017-01-01,2017
BharatAgri,2017-01-01,Pune,Agriculture,A Smart Farming Technology Platform for Indian Farmers,"Siddharth Dialani, Sai Gole","021 Capital, India Quotient",3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Credable,2017-01-01,Mumbai,IT & Technology,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,Nirav Choksi,Oaks Asset Management,4500000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Railofy,2019-01-01,Mumbai,Transportation & Logistics,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi","Roots Ventures, Better Capital",5000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Finova Capital,2016-01-01,Jaipur,IT & Technology,Finova Capital is a non-banking financial company.,"Mohit Sahney, Sunita Sahney","Sequoia Capital India, Faering Capital",55000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Teachmint,2020-01-01,Bengaluru,Education,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,"Mihir, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Lightspeed India,3500000.0,Seed,2020-01-01,0 days,2017-01-01,2017
Janani,2020-01-01,Bengaluru,Healthcare & Life sciences,Janani aims to make the process of infertility treatment and assisted fertilisation easier,Nilay Mehrotra,9Unicorns,200000.0,Pre_seed,2020-01-01,0 days,2017-01-01,2017
Credgenics,2018-01-01,Gurugram,IT & Technology,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel, Sunder Nookala",3300000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Wellversed,2018-01-01,New Delhi,Healthcare & Life sciences,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,"Aanan Khurma, Aditya Seth, Ripunjay Chachan","KLUB Works, Shankar Narayanan",3000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Winzo,2018-01-01,New Delhi,Media & Entertainment,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,"Paavan Nanda, Saumya Singh Rathore","Makers Fund, Courtside Ventures",2000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Pocket FM,2018-01-01,Bengaluru,Consumer Goods,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,Rohan Nayak,"Times Group, Lightspeed",5000000.0,Series_A,2020-01-01,730 days,2019-01-01,2019
TagZ Foods,2019-01-01,Bengaluru,Consumer Goods,TagZ Foods is a supplier of snacks and food products.,"Sagar Bhalotia, Anish Basu Roy","Exfinity Venture Partners, Shesh Kondi",3000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Genius Teacher,2016-01-01,Mumbai,Education,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students","Advitiya Sharma, Gaurav Lahoti","Sandeep Tandon, Daniel Lapus",2000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
GetVantage,2019-01-01,Mumbai,IT & Technology,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,"Amit Srivastava, Bhavik Vasa, Sachin Tagra, Sachin Tagra","Samyakth Capital, Venture Catalysts",5000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Biddano,2016-01-01,Mumbai,Healthcare & Life sciences,India's 1st tech-enabled healthcare logistics platform.,Talha Shaikh,Windrose Capital,600000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
InVideo,2017-01-01,Mumbai,Others,InVideo enables you to transform your content into great videos.,"Harsh Vakharia, Pankit Chheda, Sanket Shah","Base Partners, Sequoia Capital India",15000000.0,Series_A,2020-01-01,1095 days,2020-01-01,2020
Arzooo,2016-01-01,Bengaluru,Retail,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales","Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group",7500000.0,Series_A,2020-01-01,1461 days,2021-01-01,2021
Hubilo,2020-01-01,San Francisco,IT & Technology,World’s smartest virtual event platform that brings Experience & Intelligence together,"Mayank Agarwal, Vaibhav Jain","Nishant Rao, Jonathan Boutelle",4500000.0,Seed,2020-01-01,0 days,2017-01-01,2017
BASIC Home Loan,2020-01-01,Gurugram,IT & Technology,"A platform for automating home loans for middle and low-income households in India,",Atul Monga,Picus Capital,5000000.0,Seed,2020-01-01,0 days,2017-01-01,2017
Tekion,2016-01-01,San Ramon,IT & Technology,It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,"Guru Sankararaman, Jay Vijayan","Alliance Ventures, Storm Ventures",150000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Brighteye Ventures,2017-01-01,Paris,Education,Education technology venture capital firm.,David guerin,Tandem,5400000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
EzeRx,2018-01-01,Kolkata,Healthcare & Life sciences,Developer and manufacturer of medical devices,"Amit mandahar, Chaitali roy","Indian Oil Corporation, Krishna Chakravarty",200000.0,Seed,2020-01-01,730 days,2019-01-01,2019
VitalTech,2018-01-01,Plano,Healthcare & Life sciences,"VitalTech is a develop technologies that empower patients to better care for their safety,",Anjan Panneer Selvam,Tech Mahindra,3000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Genius Teacher,2016-01-01,Mumbai,Education,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students","Advitiya Sharma, Gaurav Lahoti","Whiteboard Capital, VKG Ventures LLP.",2000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Tring,2019-01-01,Mumbai,Others,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.","Akshay Saini, Rahul Saini, Pranav Chabhadia","Sujeet Kumar, Hemesh Singh",3000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
GoodGamer,2020-01-01,Bengaluru,Media & Entertainment,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,Charles Creighton,Undisclosed,2500000.0,Seed,2020-01-01,0 days,2017-01-01,2017
Tiliter,2017-01-01,Sydney,Retail,Software that uses computer vision to recognise products without barcodes,"Chris Sampson, Marcel Herz, Martin Karafilis","AngelList, Investec",7500000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Slintel,2016-01-01,San Francisco Bay Area,Business Services,"Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.","Deepak Anchala, Rahul Bhattacharya, Ranjana TN","Accel, Stellaris Venture Partners",4200000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
HobSpace,2019-01-01,Mumbai,Education,India's Activity Hub for Kids,"Priya Goel Sheth, Harsh Jain",Artha Venture,200000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Hire Me Car,2017-01-01,Noida,Transportation & Logistics,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,Pankaj Sharma,Undisclosed,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
ShopUp,2017-01-01,Bangladesh,Retail,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.","Afeef Zaman, Ataur Rahim Chowdhury, Siffat Sarwar","Flourish Ventures, Lonsdale Capital",22000000.0,Series_A,2020-01-01,1095 days,2020-01-01,2020
Harmonizer India,2019-01-01,Bengaluru,IT & Technology,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",M R Srinivas,Kapil Dev,3000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Dukaan,2020-01-01,Mumbai,IT & Technology,Developer of an android application designed for businesses to sell online.,"Subhash Choudhary, Suumit Shah","Lightspeed, Matrix Partners.",6000000.0,Seed,2020-01-01,0 days,2017-01-01,2017
Satyukt,2018-01-01,Bengaluru,Agriculture,An agritech company that provides business to business (B2B) agricultural data,"Sat Tomer, Yukti Gill","NABVENTURES, Social Alpha (India)",500000.0,Seed,2020-01-01,730 days,2019-01-01,2019
RACEnergy,2018-01-01,Hyderabad,Transportation & Logistics,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,"Arun Sreyas, Gautham Maheswaran","growX Ventures, Huddle (Incubator)",3000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
TREAD,2020-01-01,Bengaluru,Healthcare & Life sciences,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,Dinesh Godara,"Better Capital, Kunal Shah, Gaurav Munjal",1100000.0,Pre_seed,2020-01-01,0 days,2017-01-01,2017
Anveshan,2019-01-01,Bengaluru,Consumer Goods,Provide quality and healthy food products,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa",Titan Capital,100000.0,Pre_seed,2020-01-01,365 days,2018-01-01,2018
TeaMonk,2016-01-01,Bengaluru,Consumer Goods,India's Finest Specialty Tea company.,"Amit Dutta, Ashok Mittal","Lead Angels Network, Roots Ventures",900000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Fleetx,2017-01-01,Gurugram,IT & Technology,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.","Abhay Jeet Gupta, Parveen Kataria, Udbhav Rai, Vineet Sharma, Vishal Mishra","Rohit Bansal, Rohan Ranavat",3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
ReNEWate,2018-01-01,Pune,Real Estate,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",Supratik Ghatak,Real Estate Accelerator Program,3000000.0,Pre_seed,2020-01-01,730 days,2019-01-01,2019
Tango Eye,2018-01-01,Chennai,IT & Technology,Retail Video Analytics SaaS product,Surender Gounder,"Riso Investments, Lenskart",3000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Phononic Vibes,2018-01-01,Milano,IT & Technology,"Phononic Vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.","Andrea Boeri, Braghin Francesco, Giovanni Capellari, Luca D'Alessandro, Stefano Caverni",Undisclosed,2300000.0,Seed,2020-01-01,730 days,2019-01-01,2019
MikeLegal,2017-01-01,Gurugram,Business Services,MikeLegal is an AI powered legal associate that aims to build an ecosystem of legal tools,"Tushar Bhargava, Anshul Gupta","SOSV, Artesian",3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Clair,2019-01-01,New York,IT & Technology,Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.,"Alex Kostecki, Erich Nussbaumer, Nico Simko","Upfront Ventures, Walkabout Ventures",4500000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Pepper Content,2017-01-01,Mumbai,Others,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,"Anirudh Singla, Rishabh Shekhar","Alok Mittal, Manan Maheshwari",4200000.0,Series_A,2020-01-01,1095 days,2020-01-01,2020
Acculi Labs,2017-01-01,Bengaluru,Healthcare & Life sciences,Acculi Labs is a clinical grade smartphone based diagnostic tool,"HariPrasath M., Rupam Das",Startup Basket.,600000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Antaios,2016-01-01,France,IT & Technology,Developer of memory-based technology intended to solve issues of advanced computing.,Jean Pierre Nozieres,Undisclosed,11000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Unnati,2017-01-01,Noida,Agriculture,A helping hand to the farming community through Artificial Intelligence,"Amit Sinha, Ashok Prasad",NABVENTURES,1700000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Uni,2017-01-01,Mumbai,IT & Technology,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,Nitin Gupta,"Lightspeed India Partners, Accel India",18500000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Winuall,2019-01-01,Bengaluru,Education,"Winuall specializes in the fields of E-learning, online quizzes, and tests, study material for competitive exams.","Ashwini Purohit, MS Chouhan","Amit Lakhotia, Akash Gehani",2000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Krishitantra,2017-01-01,Hyderabad,Agriculture,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,"Sandeep Kondaji, Vishnuprasada Bhat, Anand Bellan Raman","NABVENTURES, Omnivore",1000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
PakkaProfile,2019-01-01,Bengaluru,Business Services,"PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games","Nagmanjunath Shivakumar, Savio Sebastian",Java Capital,3000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Pesto,2017-01-01,New Delhi,Education,Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,"Andrew Linfoot, Ayush Jaiswal","Sriharsha Majety, Rahul Jaimini",3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
NirogStreet,2016-01-01,Gurugram,Healthcare & Life sciences,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,Ram N Kumar,"Wavemaker Partners, Subho Ray",2000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Bambrew,2018-01-01,Bengaluru,Manufacturing,Bambrew is an online shop for reusable bamboo straws.,Vaibhav Anant,Upsparks,3000000.0,Pre_seed,2020-01-01,730 days,2019-01-01,2019
Omnify,2016-01-01,San Francisco Bay Area,IT & Technology,Omnify is a Global SaaS platform for Small Services Business,"Kabandi Saika, Manik Mehta","Saurabh Arora, LD Sharma",3000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Fanball XI,2017-01-01,New Delhi,Others,The gaming company mostly focused on fantasy football games,Vinayak Seth,Foxhog Ventures,1000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Public,2019-01-01,New Delhi,Others,Video-led social app Public provides users with a platform to share and view important hyperlocal videos,Azhar Iqubal,"Lee Fixel's Addition, SIG Global, Tanglin Venture Partners",30000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
FanPlay,2018-01-01,New Delhi,Others,FanPlay Technologies operates as a real-money gaming startup.,"Bharat Gupta, Pritesh Kumar","Core91 Fund, Anupam Mittal",3000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
ECOSTP,2017-01-01,Bengaluru,Consumer Goods,Eco friendly zero power zero maintenance sewage treatment plant in India.,"Simar Kohli, Tharun Kumar, Praseed KK",Terwilliger Centre,19000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
AgroWave,2017-01-01,Gurugram,Agriculture,Agrowave engages in transforming agriculture supply chain by connecting farms to businesses.,Anu Meena,Sekhar Puli,500000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Sapio Analytics,2018-01-01,Mumbai,IT & Technology,Sapio Analytics provides AI-powered policymaking solutions for government institutions.,"Ashwin Srivastava, Hardik Somani",Undisclosed,150000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Pristyn Care,2018-01-01,Gurugram,Healthcare & Life sciences,Pristyn Care is Health Care Startup that is disrupting Day Care Procedures.,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures",11000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
ACKO,2016-01-01,Mumbai,IT & Technology,Acko General Insurance is a private sector general insurance company in India.,"Ruchi Deepak, Varun Dua","RPS Ventures, Intact Ventures",60000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Invento,2016-01-01,Bengaluru,IT & Technology,Invento Robotics specializes in developing service robots intended for customer interactions.,"Balaji Viswanathan, Bharat Kumar, Mahalakshmi Radhakrishnan","Chiripal Group, Ratish Kumar Nair",3000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
AnalytIQSports's SuperCric,2019-01-01,Bengaluru,Others,SuperCric is India's first strategy Cricket Manager simulation game,"Suhail Chandhok, Arvind Sivdas, Dhanya Param",Undisclosed,3000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
GenieTalk,2016-01-01,Indore,IT & Technology,GenieTalk as a virtual assistant uses AI to bring conversation commerce with a personalised experience on the app.,"Santosh Kataria, Ankit Kimtee, Vivek Jain",Undisclosed,750000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Classplus,2018-01-01,Noida,Education,Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Vatsal Rustagi","Spiral Ventures, Surge",10000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
